A3,직선 도로
B8,마주보는 자전거와 자동차간의 사고
C28,차도 횡단
D28,차도에서 직진
C29,[자동차를 마주보며] 역주행
D13,[자전거를 마주보며] 직진
B9,차도가 아닌 장소에서 차도로 진입
C30,차도에서 직진
D29,차도가 아닌 장소에서 차도로 진입
C31,차도가 아닌 장소에서 차도로 진입
D28,차도에서 직진
B10,선행차량과 후행차량
C25,후행 직진
D31,선행 진로 변경
C32,선행 진로 변경
D30,후행 직진
C33,선행 직진
D32,후행 추돌
C34,후행 추돌
D33,선행 직진
B11,자전거 횡단도로
C35,자전거 횡단도로 횡단
D27,직진
A2,사거리 교차로(신호등 없음)
B2,동일폭 도로
C4,오른쪽에서 직진
D4,왼쪽에서 직진
D15,왼쪽에서 좌회전
C5,왼쪽에서 직진
D5,오른쪽에서 직진
D14,오른쪽에서 좌회전
D20,오른쪽에서 우회전
C12,[자동차를 마주보며] 직진
D12,[자전거를 마주보며] 좌회전
C13,[자동차를 마주보며] 좌회전
D13,[자전거를 마주보며] 직진
C14,오른쪽에서 좌회전
D4,왼쪽에서 직진
C15,왼쪽에서 좌회전
D5,오른쪽에서 직진
C20,오른쪽에서 우회전
D4,왼쪽에서 직진
B3,대로와 소로
C6,대로에서 직진
D6,소로에서 직진
D16,소로에서 좌회전
D21,소로에서 우회전
C7,소로에서 직진
D7,대로에서 직진
D17,대로에서 좌회전
D22,대로에서 우회전
C16,소로에서 좌회전
D7,대로에서 직진
C17,대로에서 좌회전
D6,소로에서 직진
C21,소로에서 우회전
D7,대로에서 직진
C22,대로에서 우회전
D6,소로에서 직진
B4,일시정지 표지가 한쪽방향에만 있음
C8,일시정지 위반 직진
D8,표지가 없는 도로에서 직진
D18,표지가 없는 도로에서 좌회전
D24,표지가 없는 도로에서 우회전
C9,표지가 없는 도로에서 직진
D9,일시정지 위반 직진
D19,일시정지 위반 좌회전
D23,일시정지 위반 우회전
C18,표지가 없는 도로에서 좌회전
D9,일시정지 위반 직진
C19,일시정지 위반 좌회전
D8,표지가 없는 도로에서 직진
C23,일시정지 위반 우회전
D8,표지가 없는 도로에서 직진
C24,표지가 없는 도로에서 우회전
D9,일시정지 위반 직진
B5,일방통행 표지가 한쪽방향에만 있음
C9,표지가 없는 도로에서 직진
D10,일방통행 위반 직진
C10,일방통행 위반 직진
D8,표지가 없는 도로에서 직진
B7,자동차와 자전거가 나란히 통행 가능한 차로폭
C25,후행 직진
D25,자전거 좌측에서 대우회전
D26,자전거 좌측에서 소우회전
C26,자동차 좌측에서 대우회전
D27,직진
C27,자동차 좌측에서 소우회전
D27,직진
A1,사거리 교차로(신호등 있음)
B1,상대 차량이 측면 방향에서 진입
C1,[녹색신호] 직진
D1,[적색신호] 직진
C2,[적색신호] 직진
D1,[적색신호] 직진
D2,[녹색신호] 직진
D3,[황색신호] 직진
C3,[황색신호] 직진
D1,[적색신호] 직진
B6,상대 차량이 맞은편 방향에서 진입
C1,[녹색신호] 직진
D11,[녹색신호] 좌회전(비보호 좌회전)
C11,[녹색신호] 좌회전(비보호 좌회전)
D2,[녹색신호] 직진
A4,자전거 도로
B12,자전거 전용도로
C36,자전거 전용도로 통행
D34,진로변경
B13,자전거 전용차로
C37,자전거 전용차로 통행
D34,진로변경
B14,자전거 우선도로
C38,자전거 우선도로 통행
D34,진로변경
