car_name,labeled
올뉴모닝,217
올뉴투싼,223
아반떼AD,192
쏘나타,188
레이,139
LF 쏘나타 뉴라이즈,65
셀토스,175
K3,58
코나,241
뉴아우디 A6,122
i30 ,101
스토닉,177
G80,48
싼타페DM,186
아반떼,191
올뉴쏘렌토,218
올 뉴 모닝,214
LF 쏘나타,64
더넥스트스파크,133
HG그랜져,56
K9,62
K5,59
YF쏘나타 하이브리드,99
올뉴카니발,220
스파크,179
아반떼MD,193
제네시스,232
K7,60
스팅어,178
QM3,72
벨로스터,166
코나EV,242
싼타페TM,187
S CLASS LWB,80
SM6,88
프라이드5DR,277
트랙스,251
올 뉴 K7,213
아이오닉,208
YF 쏘나타,98
EQ900,41
스포티지,180
그랜저IG,113
그랜져IG,114
엑센트,212
닛산 인피니티,132
올뉴쏘울,219
벤츠 C클래스,155
말리부,143
QM6,75
싼타페,184
올뉴크루즈,222
스포티지R,181
모하비,146
i30,100
베라크루즈,149
올뉴말리부,216
니로,127
Q5,71
그랜드스타렉스 3밴,105
올란도,226
QM5,73
GV70,53
티볼리,253
에쿠스,211
벤츠 S클래스,164
그랜드스타렉스 웨건,107
팰리세이드,254
프라이드4DR,276
그랜드카니발,111
니로EV,128
투싼 IX,250
크루즈,247
GV80,54
코란도 투리스모,244
BMW 5시리즈,18
G70,47
코란도스포츠,245
코란도 C,243
임팔라,229
BMW MINI,21
맥스크루즈,144
New SM5 플래티넘,69
크라이슬러,246
아베오,194
벤츠 A클래스,151
HG그랜저,55
아우디 S8,205
그랜드스타렉스 5밴,106
뉴SM3,119
볼보 S60,167
벤츠 E클래스,158
도요다 랙서스,135
TIGUAN,90
7SERIES,5
올뉴프라이드5DR,225
클리오,248
혼다 어코드,279
폭스바겐 CC,265
올뉴프라이드4DR,224
베뉴,148
SM5,84
그랜드스타렉스웨건,110
G4 렉스턴,46
그랜저,112
올뉴카렌스,221
BMW 118D,11
포드 쿠커,259
뉴쏘렌토R,121
투싼,249
아우디 A8,200
뷰티풀코란도,174
Rapide,78
X6,95
GM 캐딜락,51
아우디 Q5,202
CLUBMAN,33
무쏘스포츠,147
혼다 오딧세이,280
SM5 Nova,86
QM5네오,74
1SERIES 5door,0
알페온,210
윈스톰,227
아슬란,195
도요다 캠리,136
포르쉐 카이엔 터보,261
i40,102
DISCOVERY SPORT,36
포드 MKS,256
SM3 ,83
A3 5DOOR,6
재규어 XF,231
뉴 모닝,117
아우디 A6,199
폭스바겐 골프,266
BMW 3시리즈,14
쏘렌토R,189
포드 토러스,260
쏘울,190
GOLF,52
볼보 XC60,171
뉴에쿠스,123
그랜드스타렉스5밴,109
폭스바겐 파샤트,270
JETTA,57
싼타페CM,185
Discovery II ,37
뉴 SM5,116
5SERIES,4
트레일블레이저,252
뉴카렌스,126
Remegade,79
SM5 TCE,87
3SERIES,2
CANYON,28
올 뉴 쏘울,215
푸조2008,274
XF,96
푸조,272
아우디 A4,197
캐딜락 CTS,239
SM7 Nova,89
캐딜락,238
체어맨W,236
벤츠 C200,152
카렌스,237
BMW 520D,16
볼보 V90,170
마쯔다 RX-5,142
C4,27
아이오닉5,209
F-PACE,44
All New SM7,10
벤츠,150
SM 7,82
벤츠 E300,157
체로키 짚,235
뉴카니발9인승,125
X3,93
렉스턴 II,140
K8,61
폭스바겐 폴로,271
닛산 알티마,131
BMW X시리즈,23
BMW 4시리즈,15
E CLASS CABRIOLET,39
벤츠 S500,162
윈스톰맥스,228
i40 살룬,103
GM 까메로,50
CHEROKEE,29
GM,49
EXPLORER,43
BMW M시리즈,22
그랜드스타렉스3밴,108
볼보 S90,168
제네시스쿠페,233
E CLASS COUPE,40
뉴 체어맨,118
벤츠 E220,156
ES,42
,281
BMW GT,20
뉴엑센트,124
NF 쏘나타,68
Range Rover ,77
볼보 XC70,172
FOCUS 5DOOR,45
포르쉐 파나메라,262
BMW 1시리즈,12
볼보 XC90,173
푸조 2008,273
벤츠 GLS,159
아우디 A5,198
XM3,97
CLA CLASS,31
아우디 S5,204
기블리,115
아우디 SQ5,206
폭스바겐 시로코,268
COOPER D,34
CK MINI VAN,30
BMW 320i,13
포드,255
벤츠 S350L,161
아웃백,207
BMW 쿠퍼,24
BMW 528i,17
포르테,263
DISCOVERY 5,35
프라이드,275
QX50,76
닛산 맥시마,130
BMW 6시리즈,19
재규어 XE,230
아우디 A1,196
모닝,145
MKZ,66
프리우스,278
스타리아 투어러,176
도요다,134
벤츠 컨버터블,165
마이바흐,141
CLS CLASS,32
볼보 V60,169
KENBO600,63
C CLASS COUPE,26
닛산 리프,129
폭스바겐 티구안,269
벤츠 CLA클래스,153
C CLASS CABRIOLET,25
아우디 Q3,201
젠트라,234
컨티넨탈,240
SM5 ,85
PASSAT GT,70
벤츠 S500L,163
벤츠 CLS,154
E CLASS,38
X5,94
도요다 툰두라,137
포드 익스플로러,258
NEW BMW 740iL,67
신형 스타렉스6밴,182
A6,8
4SERIES GRANCOUPE,3
300C,1
ACCORD,9
X1,92
뉴벤츠 E200,120
포르테 쿱,264
도요타 시에나,138
신형 스타렉스점보,183
그랜드 체로키 짚,104
V40,91
A4,7
벤츠 ML320,160
포드 링컨,257
아우디 R8,203
폭스바겐 뉴비틀,267
SM 3,81
